parish	place
Aicha-an-der-Donau	Kälbermühle
Aicha-an-der-Donau	Käpfing
Aicha-an-der-Donau	Killersberg
Aicha-an-der-Donau	Kind
Aicha-an-der-Donau	Kindling
Aicha-an-der-Donau	Kinzing
Aicha-an-der-Donau	Kirchdorf
Aicha-an-der-Donau	Klaunberg
Aicha-an-der-Donau	Kleindorfen bei Ingolstadt
Aicha-an-der-Donau	Knoglham
Aicha-an-der-Donau	Kriestorf
Aicha-an-der-Donau	Kriestorff
Aicha-an-der-Donau	Künzing
Aicha-an-der-Donau	Kurzenhard
Aicha-an-der-Donau	Lahhof
Aicha-an-der-Donau	Lalling
Aicha-an-der-Donau	Langisarhofen
Aicha-an-der-Donau	Langkünzing
Aicha-an-der-Donau	Liedersberg
Aicha-an-der-Donau	Linzing
Aicha-an-der-Donau	Loh
Aicha-an-der-Donau	Lönberg
Aicha-an-der-Donau	Mändorf
Aicha-an-der-Donau	Manning
Aicha-an-der-Donau	Manzing
Aicha-an-der-Donau	Mapferding
Aicha-an-der-Donau	Mariakirchen
Aicha-an-der-Donau	Markl Schwarzenfeld Pfalz
Aicha-an-der-Donau	Milhaimb
Aicha-an-der-Donau	Milham
Aicha-an-der-Donau	Milhamb
Aicha-an-der-Donau	Millhaimb
Aicha-an-der-Donau	Millhamb
Aicha-an-der-Donau	Mimming
Aicha-an-der-Donau	Mittendorf
Aicha-an-der-Donau	Mitterdorf
Aicha-an-der-Donau	Mitterfels
Aicha-an-der-Donau	Mitterndorf
Aicha-an-der-Donau	Moos
Aicha-an-der-Donau	Moos Isarhofen
Aicha-an-der-Donau	Moosburg
Aicha-an-der-Donau	Mühlham
Aicha-an-der-Donau	Mülham
Aicha-an-der-Donau	München
Aicha-an-der-Donau	Mündorff
Aicha-an-der-Donau	Mutzenwinkl
Aicha-an-der-Donau	Naßlbach
Aicha-an-der-Donau	Nesselbach
Aicha-an-der-Donau	Neßlbach
Aicha-an-der-Donau	Neuburg a. Inn
Aicha-an-der-Donau	Neuhof Schöllnach
Aicha-an-der-Donau	Neukirchen Hl. Kreuz
Aicha-an-der-Donau	Niderleithen
Aicha-an-der-Donau	Niederaltach
Aicha-an-der-Donau	Niederleithen
Aicha-an-der-Donau	Niedermünchsdorf
Aicha-an-der-Donau	Niederporing
Aicha-an-der-Donau	Niederpöring
Aicha-an-der-Donau	Nindorf
Aicha-an-der-Donau	Nößlbach
Aicha-an-der-Donau	Obergössenbach
Aicha-an-der-Donau	Oberkirchberg
Aicha-an-der-Donau	Obernbach
Aicha-an-der-Donau	Oberndorf
Aicha-an-der-Donau	Obersimbach
Aicha-an-der-Donau	Obersteinhausen
Aicha-an-der-Donau	Osterhofen
Aicha-an-der-Donau	Ottach
Aicha-an-der-Donau	Ottmaring
Aicha-an-der-Donau	Pamling
Aicha-an-der-Donau	Peitzhofen
Aicha-an-der-Donau	Penzling
Aicha-an-der-Donau	Pergham Winzer
Aicha-an-der-Donau	Pettendorf
Aicha-an-der-Donau	Pfarrkirchen
Aicha-an-der-Donau	Pföring
Aicha-an-der-Donau	Pillnach
Aicha-an-der-Donau	Pilsting
Aicha-an-der-Donau	Pindorf
Aicha-an-der-Donau	Plattling
Aicha-an-der-Donau	Pleinting
Aicha-an-der-Donau	Plöttling
Aicha-an-der-Donau	Pocking
Aicha-an-der-Donau	Pöding
Aicha-an-der-Donau	Poilandorf
Aicha-an-der-Donau	Pöttendorf
Aicha-an-der-Donau	Pötting
Aicha-an-der-Donau	Puchhofen
Aicha-an-der-Donau	Puechhofen
Aicha-an-der-Donau	Putting
Aicha-an-der-Donau	Rading
Aicha-an-der-Donau	Raffelstorff
Aicha-an-der-Donau	Rafflstorf
Aicha-an-der-Donau	Rainding
Aicha-an-der-Donau	Ramsdorf
Aicha-an-der-Donau	Regenhütte
Aicha-an-der-Donau	Regensburg
Aicha-an-der-Donau	Reichersdorf
Aicha-an-der-Donau	Reichstorf
Aicha-an-der-Donau	Reichstorf Pfarrei Pitzling
Aicha-an-der-Donau	Riechnach
Aicha-an-der-Donau	Rinchna
Aicha-an-der-Donau	Rockasing
Aicha-an-der-Donau	Roding
Aicha-an-der-Donau	Roggenstein
Aicha-an-der-Donau	Rogging
Aicha-an-der-Donau	Röhrnbach
Aicha-an-der-Donau	Roßfelden
Aicha-an-der-Donau	Ruckasing
Aicha-an-der-Donau	Ruckesing
Aicha-an-der-Donau	Ruckhasing
Aicha-an-der-Donau	Ruppering
Aicha-an-der-Donau	Sammerlreith
Aicha-an-der-Donau	Sammern
Aicha-an-der-Donau	Sattling
Aicha-an-der-Donau	Schacharting
Aicha-an-der-Donau	Schaufling
Aicha-an-der-Donau	Schellnach
Aicha-an-der-Donau	Schmidorf
Aicha-an-der-Donau	Schmiedorf
Aicha-an-der-Donau	Schnelldorf
Aicha-an-der-Donau	Schöllnach
Aicha-an-der-Donau	Schwanenkirchen
Aicha-an-der-Donau	Schwarzach
Aicha-an-der-Donau	Seebach
Aicha-an-der-Donau	Seehof Hofkirchen
Aicha-an-der-Donau	Seekirchen
Aicha-an-der-Donau	Simbach
Aicha-an-der-Donau	Simmelreuth
Aicha-an-der-Donau	Sohl
Aicha-an-der-Donau	Solln Garham
Aicha-an-der-Donau	Sonndorf
Aicha-an-der-Donau	St. Georg Oberösterreich
Aicha-an-der-Donau	Sulzbach
Aicha-an-der-Donau	Süneling
Aicha-an-der-Donau	Thaindorf
Aicha-an-der-Donau	Thainforst
Aicha-an-der-Donau	Thanbach
Aicha-an-der-Donau	Thondorf
Aicha-an-der-Donau	Thundorf
Aicha-an-der-Donau	Thurmannsbang
Aicha-an-der-Donau	Thurmannspang
Aicha-an-der-Donau	Thurndorff
Aicha-an-der-Donau	Tunneldorf
Aicha-an-der-Donau	Turndorff
Aicha-an-der-Donau	Unterpöring
Aicha-an-der-Donau	Unterried Kempten
Aicha-an-der-Donau	Uttenhofen
Aicha-an-der-Donau	Viechtach
Aicha-an-der-Donau	Viehhausen
Aicha-an-der-Donau	Vierdorf
Aicha-an-der-Donau	Vierhausen
Aicha-an-der-Donau	Vierhöfen
Aicha-an-der-Donau	Walchsing
Aicha-an-der-Donau	Waldkirchen
Aicha-an-der-Donau	Wallerdorf
Aicha-an-der-Donau	Wallmering
Aicha-an-der-Donau	Walxing Galgweis
Aicha-an-der-Donau	Weinberg
Aicha-an-der-Donau	Wildenegg
Aicha-an-der-Donau	Winxing
Aicha-an-der-Donau	Winzer
Aicha-an-der-Donau	Wisselsing
Aicha-an-der-Donau	Wißelsing
Aicha-an-der-Donau	Wochenweiß
Aicha-an-der-Donau	Wolfegg
Aicha-an-der-Donau	Wolza
Aicha-an-der-Donau	Zaineth
Aicha-an-der-Donau	Zeitlarn
Aicha-an-der-Donau	Zenting
Aicha-an-der-Donau	Zolling
Aicha-an-der-Donau	Zündorf
Aicha-an-der-Donau	Zurding
Aicha-an-der-Donau	(null)
Aicha-vorm-Wald	
Aicha-vorm-Wald	Absterg
Aicha-vorm-Wald	Äcking
