profession	cnt
Austragssöldner	7
Austragsweber	4
Austragsweib	4
Austragswirt	1
Austragswirth	8
Austragswirthin	2
Austragswittwe	1
Austragswittwer	1
Austragswitwer	1
Austragswollmann	1
Austragszimmermann	2
Austragzubauergütler	1
Austrälicher	1
Austreger	1
Austregler	1
Auszeherin	1
Auszigler	10
Ausziglerin	1
Auszügler	42
Auszügler 	4
Auszüglerbauer	2
Auszüglerin	5
Auszugsbauer	9
Auszugsbäuerinn	2
Auszugsmüllertochter	1
Auszugstricker	1
Automatarius	2
Autragsbauer	1
Auwastlgütlerstochter	1
B	1
B.	1
B@	3
B@miller	1
Ba@	2
Baader	69
Baader Gesöll	1
Baadergeselle	1
Baaderin	8
Baadersgesell	1
Baaderssohn	2
Baaderstochter	3
Baadmaister	2
Baadmeister	11
Bablerbauer	1
Bachhandler	1
Bachhauser	2
Bachhäusler	2
Bachhäuslerin	1
Bachhäuslgütler	1
Bachhäuslgütlerin	1
Bachhäuslsbesitzer	1
Bachhaußer	1
Bachhuberbauer	1
Bachlehner	4
Bachlehnerausträgler	2
Bachlehnerbauer	2
Bachlehnerbäuerin	1
Bachlehnergütlerstochter	2
Bachlehnertochter	1
Bachmaier	3
Bachmaiergütler	1
Bachmair	1
Bachmairbauer	4
Bachmairin	1
Bachmairtochter	1
Bächman	2
Bachmann	5
Bachmannbauer	2
Bachmannbauerstochter	1
Bachmaurer	1
Bachmayer	1
Bachmayr	2
Bachmayrbauer	1
Bachmayrsohn	1
Bachmeierschneidergütler	1
Bachmeyrschneidergütlerstochter	1
Bachmüller	1
Bachschmid	2
Bachschmidin	1
Bachschmidt	1
Bachschmied	1
Bachschmiedbauer	1
Bachschuster	2
Bachschusterin	1
Bachstattnertochter	1
Bachstetter	1
Bachtrogmacher	1
Bachweber 	9
Bachwebergütler	4
Bachwebertochter	1
Bachwiesergütler	1
Bachwirt	1
Bäck	135
Back 	1
Bäck 	27
Bäckbauer	1
Bäcken Kind	1
Bäckenmeister	2
Bäckenmüller	1
Bäckens Gattin	1
Bäckens Kind	1
Bäckentochter	3
Bäckentöchterl	1
Bäcker	852
Bäcker- u. Müllermeister	1
Bäcker-Meister	1
Bäcker 	2
Bäckerauer	1
Bäckerbauer	1
Bäckerbauerssohn	2
Bäckereibesitzerin	1
Bäckereipächter	5
Bäckereisohn	1
Bäckergehilfe	6
Bäckergesell	1
Bäckergesell 	10
Bäckergeselle	16
Bäckergütler	1
Bäckerin	34
Bäckerjacklgütler	1
Bäckerjung	6
Bäckerjunge	11
Bäckerköchin	1
Bäckermagd	1
Bäckermaister	1
Backermann	1
Bäckermann	2
Backermeister	1
Bäckermeister	375
Bäckermeisterin	12
Bäckermeisters Tochter	1
Bäckermeistersgattin	3
Bäckermeisterssohn	2
Bäckermeisterstochter	19
Bäckermeisterswittwe	1
Bäckerpächter	1
Bäckers Gattin	1
Bäckers Kind	4
Bäckers Sohn	2
Bäckers Söhnlein	1
Bäckers Töchterchen	1
Bäckers Wittwe	2
Bäckerschneider	1
Bäckersfrau	3
Bäckersgattin	20
Bäckersgehilfe	1
Bäckersgehilfentochter	1
Bäckersjunge	1
Bäckerskind	16
Bäckersohn	12
Bäckersöldner	1
Bäckerssohn	72
Bäckerssöhnchen	1
Bäckerstochter	260
Bäckerstöchterl	1
Bäckerswittwe	9
Bäckerswitwe	7
Backertochter	3
Bäckertochter	19
Bäckgütlerstochter	1
Bäckh	5
Bäckhenmaister	2
Bäckher	1
Bäckin	34
Bäckinn	3
Bäckjung	1
Backmayr	1
Bäckmeister	1
Bäcksöldner	1
Bäcktochter	1
Bad-Wirth	1
Badbesitzer	1
Badbesitzerstochter	1
Badebesitzer	1
Bader	425
Bader 	7
Baderanwesensbesitzer	1
Baderei-Geschäftsführer	1
Badereibesitzer	3
Badereibesitzerstochter	1
Badergesell	11
Badergeselle	3
Badergsöll	1
Badergütler	1
Baderhäusler	2
Baderhuber	2
Baderhubergütler	1
Baderin	21
Baderinn	1
Baderjung	1
Badermaister	5
Badermeister	1
Baders Kind	2
Badersgattin	1
Badersgeselle	1
Badersjung	2
Badersohn	3
Baderssohn	8
Baderstochter	64
Baderswittwe	5
Badertochter	1
Badewirth	3
Badinhaber	5
Badinhaberin	2
Badmädchen	1
Badmaister	38
Badmannhagerbauer	1
Badmauererstochter	1
Badmeister	3
Badnerin	1
Badreibesitzerin	1
Badschuster	1
Badtmaister	1
Badwirth	9
Badwirthstochter	2
Baecker	1
Baer	1
Baeru	26
Baeuer	1
Baeur	169
Baeurs	20
Baeurss	5
Bahmaier	1
Bahn- u. Postamtsassistent	1
Bahn- und Wechslwärter	1
Bahn-Accordant	1
Bahnadjunkt	18
Bahnagent	1
Bahnamtsadjunkt	1
Bahnamtsgehilfe	6
Bahnarbeiter	113
Bahnarbeiterin	8
Bahnarbeitersfrau	1
Bahnarbeiterskind	2
Bahnarbeiterssohn	1
Bahnarbeiterstochter	4
Bahnarbeitersweib	1
Bahnarbeiterswittwe	2
Bahnassistent	2
Bahnaufseher	2
Bahnaufseherskind	1
Bahnbediensteter	21
Bahnexpeditor	13
Bahnführer	1
Bahnhofrestauranteur	1
Bahnhofrestaurateur	1
Bahnhofrestaurationen	1
Bahnhofrestaurationspächter	1
Bahninspektor	3
Bahninspektorstochter	2
Bahnkondukteur	1
Bahnmeister	7
Bahnmeisterin	1
Bahnofficial	1
Bahnoffizial	1
Bahnpostadjunkt	1
Bahnregulirungsarbeiter	1
Bahnschlosser	9
Bahnschloßer	4
Bahnschmid	1
Bahnschmied	2
Bahnsektionsmagazinaufseher	1
Bahntaglöhner	3
Bahntapezierer	1
Bahntischler	6
Bahnverlader	2
Bahnvorarbeiter	1
Bahnvorstand	1
Bahnwärter	58
Bahnwärterin	1
Bahnwärterssohn	1
Bahnwärterstochter	8
Bahnwärterswittwe	2
Bahnwärtner	1
Bahnwechselwärter	1
Bahnzurichter	1
Bahsist	1
Baidtnerstochter	1
Baindräxler	1
Baindtnerstochter	1
Bainringler	3
Bainringlerin	1
Bainringlerstochter	1
Bainträxler	2
Baiulus	14
Bäk	1
Bäk 	2
Bäkenmaister	1
Bäkenmühler	1
Bäker	8
Bäkermeister	3
Bäkermeisterin	1
Bäkerssöhnlein	1
Bäkerstochter	3
Bäkh	1
Bäkher	1
Bäkin	1
Balbierer	1
Balbirer	1
Balghuberbauerstochter	1
Baliers Tochter	1
Balkhuberbauer	1
Balkhuberbauer 	1
Balkhuberbauerssohn	1
Ballau	1
Ballauf	1
Ballier	1
Balliererin	1
Ballierssohn	1
Ballneator	1
Balneator	272
Balneatoris filia	1
Balneatormaister	1
Balneatrix	1
Balniator	2
Bamer	1
Bamhuberbauer	1
Bammerbauer	1
Bandelmacher	1
Bändelmacher	1
Bandelmachersgattin	1
Bandelwürker	1
Banderstochter	1
Bändl- et Zeugmacherstochter	1
Bändl- u. Zeugmacherstochter	1
Bändl- und Zeugmacher	1
Bändl- und Zeugmacherin	1
