first_name	cnt
Adolph Valentin	1
Adolphina	8
Adolphina Margaretha	4
Adolphine	13
Adolphus	2
Adolphus Fr. 	1
Adolphus Josef	1
Adolviko	1
Adrian	20
Adrian Josef	1
Adrian Joseph	1
Adrian Michael	1
Adriana	1
Adriana Alexandra	1
Adriane	1
Adriane Beatrice	1
Adrianus	2
Adulfrid	1
Aeg.	1
Aeggidius	1
Aegid	414
Aegid Peter	1
Aegid.	1
Aegidi	10
Aegidius	323
Aegnes	1
Aegyd	140
Aegydius	45
Aeigid	1
Aelx	1
Aemil Joseph	1
Aemilia	1
Aemilia Aloisia	1
Aemilia Anna Maria	1
Aemilian	14
Aemilian Jacobus	1
Aemiliana	4
Aemilie	4
Aemilius	1
Aepydius	1
Afaria	1
Afeter	1
Äfferl	1
Affra	229
Affra Clara 	1
Affra u.Joann	1
Afra	522
Afra 	1
Afra Carina	1
Afra Clara	1
Afra Klara	1
Afra Regina Mathilde	1
Afrosina	1
Ag.	36
Agat.	1
Agata	6
Agate	1
Agath	1
Agath.	1
Agatha	1584
Agatha 	1
Agatha Dorothea	1
Agatha Franziska	1
Agatha Helene	1
Agatha Henriette Friderika	1
Agatha Jul.	1
Agatha Kath.	2
Agatha Katharina	2
Agatha Klara	1
Agatha Magdalena	1
Agatha Maria	2
Agatha Viktoria	1
Agathe	138
Agathe 	1
Agathe Louise	1
Agathe Viktoria	1
Agd	3
Agens	2
Agers	1
Agg.	1
Aggata	1
Agid	17
Ägid	275
Ägid 	1
Agidi	1
Ägidi	18
Ägidia	1
Agidius	5
Ägidius	284
Ägidus	1
Ägidy	1
Agius	1
Agn.	13
Agnaes	2
Agnat	1
Agnata	1
Agnate	1
Agnella	1
Agnellus	1
Agner	1
Agners	2
Agnes	7452
Agnes Adelheid	1
Agnes Alberta	1
Agnes Anna Elisabeth	1
Agnes Antonia	1
Agnes Auguste	1
Agnes Berta	1
Agnes Cäcilia	1
Agnes Elisabeth	3
Agnes Euphrosina	1
Agnes Franziska	3
Agnes Gabriele	1
Agnes Gertraud	1
Agnes Helene	1
Agnes Hildeg. 	1
Agnes Ilonka	1
Agnes Johanna	2
Agnes Josefa	1
Agnes Juliana	3
Agnes Julianna	1
Agnes Karolina	1
Agnes Katharina	3
Agnes Konstantine	1
Agnes Krescentia	1
Agnes Kresz. M.	1
Agnes Kreszenz	1
Agnes Laura	1
Agnes Magdalena	3
Agnes Margarete	1
Agnes Margaritha	2
Agnes Maria	14
Agnes Maria Marg.	1
Agnes Monika	1
Agnes Rosalia	2
Agnes Susanna	1
Agnes Theres	1
Agnes Therese	1
Agnes Theresia	3
Agnesa	3
Agness	4
Agneta	7
Agnete	75
Agnetis	2
Agnette	1
Agob.	1
Agobuns	1
Agollonia	1
Agolonia	5
Ägusius	1
Agyd	2
Ägyd	13
Ägyd Lorenz	1
Ägydi	1
Agydius	1
Ägydius	7
Ai	1
Aid	1
Aigid	1
Äigid	1
Aigidius	1
Aigustin	2
Aikol	1
Aimon	2
Ainbeth	3
Ainbetha	1
Ajk	1
Akanasius	1
Akrl	2
Al.	46
Al. Frz.	1
Al. Theodor	1
Aladar	1
Alb.	21
Alb. Gg.	2
Alb. Helena	1
Alb. Hermann	1
Alb. Johann	2
Alb. Josef	1
Alban	218
Alban Achaz	1
Alban Josef	1
Albana	1
Albanus	4
Alberich	2
Alberika	1
Albert	3455
Albert  	43
Albert   	5
Albert Alfred	1
Albert Alois	3
Albert Aloys Karl	2
Albert Aloysius	1
Albert Andreas	2
Albert Ant.	1
Albert Anton	2
Albert Artlieb	1
Albert Balth.	2
Albert Cajetan Alois	1
Albert Conrad	1
Albert Ed. Al.	1
Albert Ernst	1
Albert Fr. Joh.	1
Albert Fr. Xaver	1
Albert Franz	8
Albert Franz Xaver	2
Albert Frd.	1
Albert Friedr.	1
Albert Frz. Ser.	1
Albert Georg	16
Albert Gerhard	1
Albert Gg.	1
Albert Gottfried	1
Albert Heinz	2
Albert Ignatz	3
Albert Jakob	1
Albert Johann	13
Albert Johannes	1
Albert Jos. Maria	1
Albert Josef	4
Albert Josef Dieter	1
Albert Joseph	12
Albert Kajetan	1
Albert Karl	3
Albert Kilian	1
Albert Konrad	3
Albert Konrad Gust.	2
Albert Leo	1
Albert Leonh. 	1
Albert Leopold	10
Albert Lorenz	1
Albert Ludwig	5
Albert Luitpold	1
Albert Manfred	1
Albert Maria	1
Albert Markus	2
Albert Martin	4
Albert Mathias	2
Albert Max	4
Albert Max Manfred	1
Albert Otto	1
Albert Paul	2
Albert Peter	2
Albert Peter Franz	1
Albert Rudolph	1
Albert Sebastian	2
Albert Siegfried	1
Albert Theodor	1
Albert Thomas	2
Albert Willibald	1
Albert Wolfgang	1
Albert Xaver	1
Alberta	15
Alberta Maria	1
Alberth	3
Albertilla	1
Albertin	1
Albertina	17
Albertina Elisabeth	1
