name	cnt
Adtberger	1
Adtenperger	3
Adtensamer	1
Ädtholzner	1
Adtlbadinger	1
Adtler	3
Adtmanseden	2
Adtmarseden	1
Adzinger	7
Aebler	1
Aechaber	1
Aechl	1
Aechler	1
Aechter	11
Aedbauer	1
Aedenbrunner	2
Aederpaur	1
Aedituus	2
Aedrbach	1
Aegeir	1
Aegeter	1
Aehnelt	1
Aehrl	1
Aeigner	1
Aelbel	8
Aelbl	1
Aeller	1
Aellinger	3
Aeltl	6
Aelvogl	5
Aelweger	6
Aemer	2
Aemeseder	3
Aemmer	1
Aenderlbauer	1
Aendhauer	1
Aendl	2
Aendler	1
Aendpfleger	1
Aener	1
Aengl	1
Aengstl	4
Aenzinger	14
Aepfelbäck	3
Aepfelbäk	12
Aepfelböck	3
Aepfelbök	32
Aepflback	1
Aepflbäck	1
Aepflbeck	4
Aepflbek	1
Aepflböck	9
Aepflbök	3
Aerb	2
Aerbinger	1
Aerdinger	1
Aerer	1
Aererer	1
Aerlb	1
Aerlpöck	1
Aerman	1
Aerner	1
Aerschl	1
Aertl	1
Aerw	1
Aescher	1
Aeschl	1
Aeseneder	1
Aespöck	1
Aeßerer	1
Aeßpauer	1
Aest	1
Aesterer	1
Aetendorfer	1
Aethäcker	1
Äetl	1
Aettenberger	1
Aettendobler	1
Aettenhauser	4
Aettenpruner	1
Aettnhueber	1
Aetzberger	1
Aetzinger	1
Aetztkind	1
Aeugerl	2
Aeumel	1
Aexinger	1
Aezinger	1
Afanger	4
Afbauer	1
Afböck	1
Afel	2
Äfele	1
Afenberger	1
Aferdinger	2
Affam	2
Affanger	1
Affelhurber	1
Affenberger	11
Affenwagner	1
Affer	2
Afferl	1
Afferlbauer	1
Affershuber	1
Afferswimmer	1
Affinger	1
Affner	1
Afinger	3
Aflenzer	1
Äfplböck	1
Afra	1
Aftenböck	1
Aftenhuber	1
After	1
Afterhauser	16
Aftermayr	1
Aga	3
Agamin	1
Agang	5
Agar	1
Agasner	1
Agasser	1
Agatheiss	1
Agatho	1
Agatini	1
Agaz	1
Agdinger	1
Agelar	1
Agelb	1
Agelsberger	1
Ägenfurtner	1
Agenschuber	1
Agensperger	1
Agent	1
Ager	1
Agerer	3
Agerler	1
Agermann	1
Agersperger	1
Ägerter	2
Agerthaller	1
Agesser	1
Agfellner	1
Agfelner	1
Aggenberger	1
Aggerl	3
Aggerman	2
Aggermann	3
Agginger	2
Aggner	1
Aggrassinger	1
Aggstein	2
Agid	4
Ägidie	1
Aglasinger	1
Aglassinger	1
Aglaßinger	3
Agloßinger	5
Agmann	1
Agmayr	2
Agner	4
Agnerin	1
Agnes	3
Agnete	1
Agnfelner	1
Agostini	4
Agreschmalz	2
Agricola	21
Agrikola	40
Agrivola	1
Agsmayr-Obstmayr	1
Agsperger	1
Agstain	1
Agstein	25
Agsteiner	1
Agster	1
Agstorfer	1
Agstorffer	2
Ahaer	4
Ahaher	1
Ahaim	1
Ahaim, von	1
Ahalinger	1
Ahallinger	12
Ahalm	1
Aham	6
Aham von zu Wildenau	1
Aham, von	1
Ahamer	7
Ahamlinge	1
Ahamm	1
Ahammer	2
Ahanger	1
Ahauser	2
Ahdorfer	1
Ahe Kaye	2
Aheim	1
Ahelliza	1
Ahen	1
Aherlz	1
Aherr	1
Ahgart	1
Ahgartner	1
Ahinger	1
Ahlaseder	1
Ahlbach	1
Ahlbauer	1
Ahle	1
Ahler	1
Ahlhalm	1
Ahlingerin	2
Ahmaninger	1
Ahmaßberger	1
Ahmer	1
Ahn	36
Ahn 	3
Ahnbaur	1
Ahnböck	5
Ahnen	2
Ahner	1
Ahnn	1
Ahnzauer	1
Ahöendl	2
Ahold	1
Aholinger	134
Aholinger 	1
Ahollinger	233
Aholminger	2
Aholzer	1
Ahorn	1
Ahörndl	7
Ahpöck	2
Ahrer	2
Ahrgartner	1
Ährl	2
Ahrtmann	1
Ahrus	1
Ahsanger	6
Ahsberger	3
Ahsn	1
Aiaacahi	1
Aiachinger	2
Aibauer	1
Aibaur	1
Aibeck	1
Aibeiter	1
Aibel	15
Aibenger	1
Aiber	1
Aiberger	8
